location,date,hosps,location_name,population,pop100k,hosp_rate
25,2020-03-26,NA,Massachusetts,6892503,68.92503,NA
25,2020-03-27,NA,Massachusetts,6892503,68.92503,NA
25,2020-03-28,NA,Massachusetts,6892503,68.92503,NA
25,2020-03-29,NA,Massachusetts,6892503,68.92503,NA
25,2020-03-30,NA,Massachusetts,6892503,68.92503,NA
25,2020-03-31,NA,Massachusetts,6892503,68.92503,NA
25,2020-04-01,NA,Massachusetts,6892503,68.92503,NA
25,2020-04-02,NA,Massachusetts,6892503,68.92503,NA
25,2020-04-03,NA,Massachusetts,6892503,68.92503,NA
25,2020-04-04,NA,Massachusetts,6892503,68.92503,NA
25,2020-04-05,NA,Massachusetts,6892503,68.92503,NA
25,2020-04-06,NA,Massachusetts,6892503,68.92503,NA
25,2020-04-07,NA,Massachusetts,6892503,68.92503,NA
25,2020-04-08,NA,Massachusetts,6892503,68.92503,NA
25,2020-04-09,NA,Massachusetts,6892503,68.92503,NA
25,2020-04-10,NA,Massachusetts,6892503,68.92503,NA
25,2020-04-11,NA,Massachusetts,6892503,68.92503,NA
25,2020-04-12,NA,Massachusetts,6892503,68.92503,NA
25,2020-04-13,NA,Massachusetts,6892503,68.92503,NA
25,2020-04-14,NA,Massachusetts,6892503,68.92503,NA
25,2020-04-15,NA,Massachusetts,6892503,68.92503,NA
25,2020-04-16,NA,Massachusetts,6892503,68.92503,NA
25,2020-04-17,NA,Massachusetts,6892503,68.92503,NA
25,2020-04-18,NA,Massachusetts,6892503,68.92503,NA
25,2020-04-19,NA,Massachusetts,6892503,68.92503,NA
25,2020-04-20,NA,Massachusetts,6892503,68.92503,NA
25,2020-04-21,NA,Massachusetts,6892503,68.92503,NA
25,2020-04-22,NA,Massachusetts,6892503,68.92503,NA
25,2020-04-23,NA,Massachusetts,6892503,68.92503,NA
25,2020-04-24,NA,Massachusetts,6892503,68.92503,NA
25,2020-04-25,NA,Massachusetts,6892503,68.92503,NA
25,2020-04-26,NA,Massachusetts,6892503,68.92503,NA
25,2020-04-27,NA,Massachusetts,6892503,68.92503,NA
25,2020-04-28,NA,Massachusetts,6892503,68.92503,NA
